,Year,City,Sport,Discipline,NOC,Event,Event gender,Medal
232,1948,St. Moritz,Skating,Speed skating,SWE,1500m,M,Silver
233,1948,St. Moritz,Skating,Speed skating,SWE,5000m,M,Bronze
234,1948,St. Moritz,Skiing,Cross Country S,SWE,18km,M,Bronze
235,1948,St. Moritz,Skiing,Cross Country S,SWE,18km,M,Gold
236,1948,St. Moritz,Skiing,Cross Country S,SWE,18km,M,Silver
237,1948,St. Moritz,Skiing,Cross Country S,SWE,4x10km relay,M,Gold
238,1948,St. Moritz,Skiing,Cross Country S,SWE,50km,M,Gold
239,1948,St. Moritz,Skiing,Cross Country S,SWE,50km,M,Silver
240,1948,St. Moritz,Skiing,Nordic Combined,SWE,individual,M,Bronze
241,1948,St. Moritz,Ice Hockey,Ice Hockey,TCH,ice hockey,M,Silver
242,1948,St. Moritz,Bobsleigh,Bobsleigh,USA,four-man,M,Bronze
243,1948,St. Moritz,Bobsleigh,Bobsleigh,USA,four-man,M,Gold
244,1948,St. Moritz,Bobsleigh,Bobsleigh,USA,two-man,M,Bronze
245,1948,St. Moritz,Bobsleigh,Skeleton,USA,individual,M,Silver
246,1948,St. Moritz,Skating,Figure skating,USA,individual,M,Gold
247,1948,St. Moritz,Skating,Speed skating,USA,500m,M,Silver
248,1948,St. Moritz,Skating,Speed skating,USA,500m,M,Silver
249,1948,St. Moritz,Skiing,Alpine Skiing,USA,alpine combined,W,Silver
250,1948,St. Moritz,Skiing,Alpine Skiing,USA,slalom,W,Gold
251,1952,Oslo,Skating,Figure skating,AUT,individual,M,Silver
252,1952,Oslo,Skiing,Alpine Skiing,AUT,downhill,M,Bronze
253,1952,Oslo,Skiing,Alpine Skiing,AUT,downhill,M,Silver
254,1952,Oslo,Skiing,Alpine Skiing,AUT,downhill,W,Gold
255,1952,Oslo,Skiing,Alpine Skiing,AUT,giant slalom,M,Bronze
256,1952,Oslo,Skiing,Alpine Skiing,AUT,giant slalom,M,Silver
257,1952,Oslo,Skiing,Alpine Skiing,AUT,giant slalom,W,Silver
258,1952,Oslo,Skiing,Alpine Skiing,AUT,slalom,M,Gold
259,1952,Oslo,Ice Hockey,Ice Hockey,CAN,ice hockey,M,Gold
260,1952,Oslo,Skating,Speed skating,CAN,500m,M,Bronze
261,1952,Oslo,Skiing,Cross Country S,FIN,10km,W,Bronze
262,1952,Oslo,Skiing,Cross Country S,FIN,10km,W,Gold
263,1952,Oslo,Skiing,Cross Country S,FIN,10km,W,Silver
264,1952,Oslo,Skiing,Cross Country S,FIN,18km,M,Bronze
265,1952,Oslo,Skiing,Cross Country S,FIN,18km,M,Silver
266,1952,Oslo,Skiing,Cross Country S,FIN,4x10km relay,M,Gold
267,1952,Oslo,Skiing,Cross Country S,FIN,50km,M,Gold
268,1952,Oslo,Skiing,Cross Country S,FIN,50km,M,Silver
269,1952,Oslo,Skiing,Nordic Combined,FIN,individual,M,Silver
270,1952,Oslo,Skating,Figure skating,FRA,individual,W,Bronze
271,1952,Oslo,Bobsleigh,Bobsleigh,FRG,four-man,M,Gold
272,1952,Oslo,Bobsleigh,Bobsleigh,FRG,two-man,M,Gold
273,1952,Oslo,Skating,Figure skating,GBR,individual,W,Gold
274,1952,Oslo,Skating,Figure skating,GER,pairs,X,Gold
275,1952,Oslo,Skiing,Alpine Skiing,GER,downhill,W,Silver
276,1952,Oslo,Skiing,Alpine Skiing,GER,giant slalom,W,Bronze
277,1952,Oslo,Skiing,Alpine Skiing,GER,slalom,W,Bronze
278,1952,Oslo,Skiing,Alpine Skiing,GER,slalom,W,Silver
279,1952,Oslo,Skating,Figure skating,HUN,pairs,X,Bronze
280,1952,Oslo,Skiing,Alpine Skiing,ITA,downhill,M,Gold
281,1952,Oslo,Skiing,Alpine Skiing,ITA,downhill,W,Bronze
282,1952,Oslo,Skating,Speed skating,NED,10000m,M,Silver
283,1952,Oslo,Skating,Speed skating,NED,1500m,M,Silver
284,1952,Oslo,Skating,Speed skating,NED,5000m,M,Silver
285,1952,Oslo,Skating,Speed skating,NOR,10000m,M,Gold
286,1952,Oslo,Skating,Speed skating,NOR,1500m,M,Bronze
287,1952,Oslo,Skating,Speed skating,NOR,1500m,M,Gold
288,1952,Oslo,Skating,Speed skating,NOR,5000m,M,Bronze
289,1952,Oslo,Skating,Speed skating,NOR,5000m,M,Gold
290,1952,Oslo,Skating,Speed skating,NOR,500m,M,Bronze
291,1952,Oslo,Skiing,Alpine Skiing,NOR,giant slalom,M,Gold
292,1952,Oslo,Skiing,Alpine Skiing,NOR,slalom,M,Bronze
293,1952,Oslo,Skiing,Alpine Skiing,NOR,slalom,M,Silver
294,1952,Oslo,Skiing,Cross Country S,NOR,18km,M,Gold
295,1952,Oslo,Skiing,Cross Country S,NOR,4x10km relay,M,Silver
296,1952,Oslo,Skiing,Cross Country S,NOR,50km,M,Bronze
297,1952,Oslo,Skiing,Nordic Combined,NOR,individual,M,Bronze
298,1952,Oslo,Skiing,Nordic Combined,NOR,individual,M,Gold
299,1952,Oslo,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Gold
300,1952,Oslo,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Silver
